SampleName	Read1Fastq	Read2Fastq	ToolType	SampleType
SRR21356249		SRR21356249.read2.fq.gz	patch-gloritools	untreated
SRR21356250		SRR21356250.read2.fq.gz	patch-gloritools	treated
